นิวยอร์ก,new-yɔ̂ɔk
พระบรมธาตุ,phrá-bɔɔ-rom-má-thâat
พระบรมศพ,phrá-bɔɔ-rom-má-sòp
พระบรมศาสดา,phrá-bɔɔ-rom-má-sàat-sà-daa
พระบรมรูป,phrá-bɔɔ-rom-má-rûup
พระบรมมหาราชวัง,phrá-bɔɔ-rom-má-hǎa-râat-chá-waŋ
พรายย้ำ,phraay-yám
พรายทะเล,phraay-thá-lee
พรายแสง,phraay-sɛ̌ɛŋ
พรายน้ำ,phraay-nám
พราย,phraay
พราวแพรว,phraaw-phrɛɛw
พราว,phraaw
พร่างพราย,phrâaŋ-phraay
พราง,phraaŋ
พราน,phraan
พร่ามัว,phrâa-mua
พราหมณี,phraam-ma-nii
พราหมณ์,phraam
พรากจากกัน,phrâak-càak-kan
พราก,phrâak
พระอาทิตย์ตกดิน,phrá-aa-thít-tòk-din
พระอาทิตย์,phrá-aa-thít
พระอารามหลวง,phrá-aa-raam-lǔaŋ
พระอาราม,phrá-aa-raam
พร่า,phrâa
พร้า,phráa
พระ,phrá
เพรื่อ,phrʉ̂a
พึ่บ,phʉ̂p
ผ็อย,phɔ̌y
พดกริช,phót-krìt
พดด้วง,phót-dûaŋ
พจนานุกรม,phót-ca-naa-nú-krom
ผด,phòt
พจน์,phót
พบพาน,phóp-phaan
พบปะสนทนา,phóp-pà-sǒn-thá-naa
พบปะ,phóp-pà
ภพหน้า,phóp-nâa
เพาะปลูก,phɔ́-plùuk
พบกัน,phóp-kan
พบเห็น,phóp-hěn
โผเผ,phǒo-phěe
เพาะพันธุ์,phɔ́-phan
พบจุดจบ,phóp-cùt-còp
พบ,phóp
ภพ,phóp
โพย,phooy
พอตัว,phɔɔ-tua
พอร์ตสื่อสาร,phɔ̀ɔt-sʉ̀ʉ-sǎan
โพธิญาณ,phoo-thí-yaan
โพธิสัตว์,phoo-thí-sàt
พอที่,phɔɔ-thîi
โพธิบัลลังก์,phoo-thí-ban-laŋ
โพแทสเซียม,phoo-thɛ́ɛt-sîam
พ่อเฒ่า,phɔ̂ɔ-thâw
พอทำพอกิน,phɔɔ-tham-phɔɔ-kin
พอทำเนา,phɔɔ-tham-naw
โภชนะห้า,phôot-chá-ná-hâa
โภชนากร,phôot-cha-naa-kɔɔn
โภชนาการ,phôot-cha-naa-kaan
โภชนาหาร,phôot-cha-naa-hǎan
โภชนา,phôot-cha-naa
พ่อตา,phɔ̂ɔ-taa
พอร์ต,phɔ̀ɔt
โพธ,phôot
โภช,phôot
โพสพ,phoo-sòp
พ.ศ,phɔɔ-sɔ̌ɔ
พอสมควร,phɔɔ-sǒm-khuan
โพซิตรอน,phoo-sí-trɔn
พอสถานประมาณ,phɔɔ-sà-thǎan-prà-maan
พอสังเขป,phɔɔ-sǎŋ-khèep
พ่อสื่อ,phɔ̂ɔ-sʉ̀ʉ
พอแรง,phɔɔ-rɛɛŋ
ภรณีภู,phɔɔ-ra-nii-phuu
ภรณี,phɔɔ-ra-nii
พอประมาณ,phɔɔ-prà-maan
พ่อผัว,phɔ̂ɔ-phǔa
พอๆ-กัน,phɔɔ-phɔɔ-kan
พ่อพิมพ์,phɔ̂ɔ-phim
พอเพียง,phɔɔ-phiaŋ
พ่อพันธุ์,phɔ̂ɔ-phan
พอเป็นพิธี,phɔɔ-pen-phí-thii
พอไปได้,phɔɔ-pay-dây
ผอบ,phɔ̀ɔp
พ่อหนู,phɔ̂ɔ-nǔu
โพนทะนา,phoon-thá-naa
โพ้นทะเล,phóon-thá-lee
พรสวรรค์,phɔɔn-sa-wǎn
พองตัว,phɔɔŋ-tua
พ้องต้องกัน,phɔ́ɔŋ-tɔ̂ŋ-kan
โพงพาง,phooŋ-phaaŋ
พ้องพาน,phɔ́ɔŋ-phaan
พ้องกัน,phɔ́ɔŋ-kan
พ้อง,phɔ́ɔŋ
ผอง,phɔ̌ɔŋ
พอง,phɔɔŋ
โพง,phooŋ
ภร,phɔɔn
พร,phɔɔn
พอน,phɔɔn
โพ้น,phóon
โพน,phoon
ผอมโซ,phɔ̌ɔm-soo
พอเหมาะพอควร,phɔɔ-mɔ̀-phɔɔ-khuan
พอเหมาะ,phɔɔ-mɔ̀
ผอมเกร็ง,phɔ̌ɔm-kreŋ
พอมีพอกิน,phɔ̂ɔ-mii-phɔ̂ɔ-kin
พอมีอันจะกิน,phɔ̂ɔ-mii-an-cà-kin
ผอมแห้งแรงน้อย,phɔ̌ɔm-hɛ̂ɛŋ-rɛɛŋ-nɔ́ɔy
ผอมแห้ง,phɔ̌ɔm-hɛ̂ɛŋ
พ่อแม่,phɔ̂ɔ-mɛ̂ɛ
ผอมบาง,phɔ̌ɔm-baaŋ
พ่อเมือง,phɔ̂ɔ-mʉaŋ
พ่อม่าย,phɔ̂ɔ-mâay
พ่อหม้าย,phɔ̂ɔ-mâay
พ้อม,phɔ́ɔm
ผอม,phɔ̌ɔm
พอโลเนียม,phɔɔ-loo-níam
พ่อเลี้ยง,phɔ̂ɔ-líaŋ
พอแล้ว,phɔɔ-lɛ́ɛw
พอกพูน,phɔ̂ɔk-phuun
โภคทรัพย์,phôok-kha-sáp
โภคภัณฑ์,phôok-kha-phan
พ่อคุณ,phɔ̂ɔ-khun
พอควร,phɔɔ-khuan
โพกหัว,phook-hǔa
พ่อครัว,phɔ̂ɔ-khrua
โภคิน,phoo-khin
โภคี,phoo-khii
โภไคย,phoo-khay
พ่อค้าส่งออก,phɔ̂ɔ-kháa-sòŋ-ɔ̀ɔk
พ่อค้าเร่,phɔ̂ɔ-kháa-rêe
พ่อค้าปลีก,phɔ̂ɔ-kháa-plìik
พ่อค้าของชำ,phɔ̂ɔ-kháa-khɔ̌ɔŋ-cham
พ่อค้าคนกลาง,phɔ̂ɔ-kháa-khon-klaaŋ
พ่อค้าขายส่ง,phɔ̂ɔ-kháa-khǎay-sòŋ
พ่อค้าขายปลีก,phɔ̂ɔ-kháa-khǎay-plìik
พ่อค้า,phɔ̂ɔ-kháa
พอแก่ความต้องการ,phɔɔ-kɛ̀ɛ-khwaam-tɔ̂ŋ-kaan
พอกับ,phɔɔ-kàp
พอกันที,phɔɔ-kan-thii
พอกัน,phɔɔ-kan
พอการ,phɔɔ-kaan
ผอก,phɔ̀ɔk
พอก,phɔ̂ɔk
โภค,phôok
โพก,phôok
พอหอมปากหอมคอ,phɔɔ-hɔ̌ɔm-pàak-hɔ̌ɔm-khɔɔ
พอให้,phɔɔ-hây
พอฟัดพอเหวี่ยง,phɔɔ-fát-phɔɔ-wìaŋ
พอฟัด,phɔɔ-fát
พอดูได้,phɔɔ-duu-dây
พอดู,phɔɔ-duu
พอดิบพอดี,phɔɔ-dìp-phɔɔ-dii
พอดีพอร้าย,phɔɔ-dii-phɔɔ-ráay
พอดี,phɔɔ-dii
โพแดง,phoo-dɛɛŋ
พอได้,phɔɔ-dây
โพดำ,phoo-dam
พอใช้ได้,phɔɔ-cháy-dây
พอใช้,phɔɔ-cháy
พอใจ,phɔɔ-cay
พ่อบุญธรรม,phɔ̂ɔ-bun-tham
พ่อบ้าน,phɔ̂ɔ-bâan
พ่อ,phɔ̂ɔ
พ้อ,phɔ́ɔ
พอ,phɔɔ
โพ,phoo
ผลย้อนหลัง,phǒn-yɔ́ɔn-lǎŋ
พ้นวิสัย,phón-wí-sǎy
ผลวิจัย,phǒn-wí-cay
พ้นตัว,phón-tua
พลตรี,phon-trii
พลตระเวน,phon-trà-ween
ผลตอบแทน,phǒn-tɔ̀ɔp-thɛɛn
พ้นทุกข์,phón-thúk
พลโท,phon-thoo
ผลที่สุด,phǒn-thîi-sùt
พลตำรวจตรี,phon-tam-rûat-trii
พลตำรวจโท,phon-tam-rûat-thoo
พลตำรวจเอก,phon-tam-rûat-èek
ผลต่าง,phǒn-tàaŋ
ผลสุดท้าย,phǒn-sùt-tháay
ผลสืบเนื่อง,phǒn-sʉ̀ʉp-nʉ̂aŋ
ผ่อนส่ง,phɔ̀n-sòŋ
ผลเสียหาย,phǒn-sǐa-hǎay
ผลเสีย,phǒn-sǐa
ผลสะท้อน,phǒn-sà-thɔ́ɔn
ผลสรุป,phǒn-sa-rùp
ผลสำรวจ,phǒn-sǎm-rùat
ผลสัมฤทธิ์,phǒn-sǎm-rít
ผลสำเร็จ,phǒn-sǎm-rèt
พ้นสมัย,phón-sa-mǎy
ผลรวม,phǒn-ruam
พลร่ม,phon-rôm
ผ่อนแรง,phɔ̀n-rɛɛŋ
พลเรือตรี,phon-rʉa-trii
พลเรือโท,phon-rʉa-thoo
พลเรือเอก,phon-rʉa-èek
ผลร้าย,phǒn-ráay
ผ่อนปรน,phɔ̀n-pron
ผลประโยชน์,phǒn-prà-yòot
ผลประกอบการ,phǒn-prà-kɔ̀ɔp-kaan
ผลพวง,phǒn-phuaŋ
พ้นผิด,phón-phìt
พ้นภัย,phón-phay
ผ่อนผัน,phɔ̀n-phǎn
ผลผลิต,phǒn-pha-lìt
พ้นไป,phón-pay
ผลงานวิจัย,phǒn-ŋaan-wí-cay
ผลงาน,phǒn-ŋaan
พลม้า,phon-máa
พ่นลม,phôn-lom
พลสิงห์,phon-la-sǐŋ
พลศาสตร์,phon-la-sàat
พลเรือน,phon-la-rʉan
พลพรรค,phon-la-phák
พลพาย,phon-la-phaay
ผลลัพธ์,phǒn-láp
ผลไม้กระป๋อง,phǒn-lá-máy-krà-pɔ̌ŋ
ผลไม้แช่อิ่ม,phǒn-la-máy-chɛ̂ɛ-ìm
ผลไม้,phǒn-la-máy
พลเมือง,phon-la-mʉaŋ
พลโลก,phon-la-lôok
พลความ,phon-la-khwaam
ผลคูณ,phǒn-la-khuun
ผลกระทบ,phǒn-krà-thóp
พ้นความผิด,phón-khwaam-phìt
พ้นข้อหา,phón-khɔ̂ɔ-hǎa
ผ่อนคลาย,phɔ̀n-khlaay
พ้นขีดอันตราย,phón-khìit-an-ta-raay
ผลข้างเคียง,phǒn-khâaŋ-khiaŋ
ผลกำไร,phǒn-kam-ray
พ้นกำหนด,phón-kam-nòt
ผลกรรม,phǒn-kam
ผลการวิเคราะห์,phǒn-kaan-wí-khrɔ́
ผลการวิจัย,phǒn-kaan-wí-cay
ผลการเรียน,phǒn-kaan-rian
ผลการดำเนินงาน,phǒn-kaan-dam-nəən-ŋaan
พ้นหูพ้นตา,phón-hǔu-phón-taa
ผลหาร,phǒn-hǎan
พงหญ้า,phoŋ-yâa
ผ่องใส,phɔ̀ŋ-sǎy
ผงซักฟอก,phǒŋ-sák-fɔ̂ɔk
พงศาวลี,phoŋ-sǎa-wa-lii
พงศาวดาร,phoŋ-sǎa-wa-daan
พงไพร,phoŋ-phray
พงพี,phoŋ-phii
ผ่องแผ้ว,phɔ̀ŋ-phɛ̂ɛw
พงศ์พันธุ์,phoŋ-phan
โผงผาง,phǒoŋ-phǎaŋ
ผงคลี,phǒŋ-khlii
ผงขาว,phǒŋ-khǎaw
ผงฟู,phǒŋ-fuu
ผงชูรส,phǒŋ-chuu-rót
ผ่อง,phɔ̀ŋ
โผง,phǒoŋ
ผง,phǒŋ
พง,phoŋ
พงศ์,phoŋ
พลเอก,phon-èek
ผลดี,phǒn-dii
พลเดินเท้า,phon-dəən-tháaw
ผลได้,phǒn-dây
ผ่อนชำระ,phɔ̀n-cham-rá
ผลบุญ,phǒn-bun
ผลบวก,phǒn-bùak
ผลบังคับ,phǒn-baŋ-kháp
พ้นอันตราย,phón-an-traay
พลอากาศตรี,phon-aa-kàat-trii
พลอากาศโท,phon-aa-kàat-thoo
พลอากาศเอก,phon-aa-kàat-èek
ผ่อน,phɔ̀n
โผน,phǒon
ผล,phǒn
พ่น,phôn
พ้น,phón
พล,phon
ผมหยิก,phǒm-yìk
ผมสีดอกเลา,phǒm-sǐi-dɔ̀ɔk-law
ผมปลอม,phǒm-plɔɔm
ผมเปีย,phǒm-pia
ผมเผ้า,phǒm-phâw
ผมเป๋,phǒm-pěe
ผมหงอก,phǒm-ŋɔ̀ɔk
ภมริน,phom-ma-rin
ภมรี,phom-ma-rii
ผมมหาดไทย,phǒm-ma-hàat-thay
ผมม้า,phǒm-máa
ผมหลักแจว,phǒm-làk-cɛɛw
ผมไฟ,phǒm-fay
ผมบ๊อบ,phǒm-bɔ́p
ผมบาง,phǒm-baaŋ
ผม,phǒm
เพาะเลี้ยงสัตว์น้ำ,phɔ́-líaŋ-sàt-nám
เพาะเลี้ยง,phɔ́-líaŋ
ผกผงก,phòk-pha-ŋòk
ผกผัน,phòk-phǎn
พกพา,phók-phaa
พกลม,phók-lom
โผเข้าหา,phǒo-khâw-hǎa
พกอาวุธ,phók-aa-wút
ผก,phòk
พก,phók
เพาะชำ,phɔ́-cham
เพาะเชื้อ,phɔ́-chʉ́a
โผบิน,phǒo-bin
เพาะ,phɔ́
โผ,phǒo
พื้นหญ้า,phʉ́ʉn-yâa
พื้นเวที,phʉ́ʉn-wee-thii
พื้นถิ่น,phʉ́ʉn-thìn
พื้นที่ต่ำ,phʉ́ʉn-thîi-tàm
พื้นที่รับน้ำ,phʉ́ʉn-thîi-ráp-nám
พื้นที่ราบ,phʉ́ʉn-thîi-râap
พื้นที่เพาะปลูก,phʉ́ʉn-thîi-phɔ́-plùuk
พื้นที่ชลประทาน,phʉ́ʉn-thîi-chon-prà-thaan
พื้นที่,phʉ́ʉn-thîi
พื้นถนน,phʉ́ʉn-tha-nǒn
พื้นฐานการศึกษา,phʉ́ʉn-thǎan-kaan-sʉ̀k-sǎa
พื้นฐาน,phʉ́ʉn-thǎan
พื้นเสีย,phʉ́ʉn-sǐa
พื้นสนาม,phʉ́ʉn-sa-nǎam
พื้นทราย,phʉ́ʉn-saay
พื้นเรือน,phʉ́ʉn-rʉan
พื้นราบ,phʉ́ʉn-râap
พื้นๆ,phʉ́ʉn-phʉ́ʉn
พื้นผิว,phʉ́ʉn-phǐw
พื้นเพ,phʉ́ʉn-phee
พื้นปฐพี,phʉ́ʉn-pa-tha-phii
ผืนป่า,phʉ̌ʉn-pàa
พื้นน้ำ,phʉ́ʉn-nám
ผืนน้ำ,phʉ̌ʉn-nám
พื้นเมือง,phʉ́ʉn-mʉaŋ
พื้นโลก,phʉ́ʉn-lôok
พื้นกระเบื้อง,phʉ́ʉn-krà-bʉ̂aŋ
พื้นความรู้,phʉ́ʉn-khwaam-rúu
พื้นคอนกรีต,phʉ́ʉn-khɔɔn-krìit
ผื่นคัน,phʉ̀ʉn-khan
พื้นห้อง,phʉ́ʉn-hɔ̂ŋ
พื้นหินขัด,phʉ́ʉn-hǐn-khàt
พึ่งตัวเอง,phʉ̂ŋ-tua-eeŋ
พึ่งตนเอง,phʉ̂ŋ-ton-eeŋ
พึงตา,phʉŋ-taa
พึงสังเกต,phʉŋ-sǎŋ-kèet
ผึ้งรวง,phʉ̂ŋ-ruaŋ
พึงระวัง,phʉŋ-rá-waŋ
พึงประสงค์,phʉŋ-prà-sǒŋ
พึงปรารถนา,phʉŋ-pràat-tha-nǎa
พึงพอใจ,phʉŋ-phɔɔ-cay
พึ่งพิง,phʉ̂ŋ-phiŋ
ผึ่งผาย,phʉ̀ŋ-phǎay
พึ่งพาอาศัย,phʉ̂ŋ-phaa-aa-sǎy
พึ่งพา,phʉ̂ŋ-phaa
ผึ้งงาน,phʉ̂ŋ-ŋaan
พึงมี,phʉŋ-mii
พึงกระทำ,phʉŋ-krà-tham
ผึ่งแดด,phʉ̀ŋ-dɛ̀ɛt
พึงใจ,phʉŋ-cay
พึ่งใบบุญ,phʉ̂ŋ-bay-bun
ผึ้ง,phʉ̂ŋ
ผึ่ง,phʉ̀ŋ
พึ่ง,phʉ̂ŋ
พึง,phʉŋ
พื้นดิน,phʉ́ʉn-din
ผืนดิน,phʉ̌ʉn-din
พื้นดี,phʉ́ʉn-dii
พื้นเดิม,phʉ́ʉn-dəəm
พื้นบ้าน,phʉ́ʉn-bâan
ผื่น,phʉ̀ʉn
พื้น,phʉ́ʉn
พึมพำ,phʉm-pham
พึม,phʉm
ผลุย,phlǔy
พลุ่ย,phlûy
พลุ้ย,phlúy
พลูโตเนียม,phluu-too-nîam
พลูโต,phluu-too
พลูสด,phluu-sòt
พลูนาบ,phluu-nâap
พลู,phluu
ผลุบๆ-โผล่ๆ,phlùp-phlùp-phlòo-phlòo
ผลุบโผล่,phlùp-phlòo
ผลุบผลับ,phlùp-phlàp
ผลุบ,phlùp
ผลุนผลัน,phlǔn-phlǎn
พลุ่งพล่าน,phlûŋ-phlâan
ผลุง,phlǔŋ
พลุ่ง,phlûŋ
ผลุน,phlǔn
พลุ่มพล่าม,phlûm-phlâam
พลุกพล่าน,phlúk-phlâan
พลุก,phlúk
พลวง,phluaŋ
พลุ,phlú
พล่อยๆ,phlɔ̂y-phlɔ̂y
ผล็อย,phlɔ̌y
พลทหาร,phlót-tha-hǎan
พล็อต,phlɔ́t
ผลพลอยได้,phlòp-lɔɔy-dây
พลบค่ำ,phlóp-khâm
พลบ,phlóp
พลอยฟ้าพลอยฝน,phlɔɔy-fáa-phlɔɔy-fǒn
พลอย,phlɔɔy
พลอดรัก,phlɔ̂ɔt-rák
พลอด,phlɔ̂ɔt
โพล้เพล้,phlóo-phlée
พลอง,phlɔɔŋ
โพล่ง,phlôoŋ
โพล้ง,phlóoŋ
โพลง,phlooŋ
โพลน,phloon
พลอมแพลม,phlɔɔm-phlɛɛm
โผลกเผลก,phlòok-phlèek
โผล่,phlòo
เผลาะ,phlɔ̀
ผลึกศิลา,phlʉ̀k-sì-laa
ผลึก,phlʉ̀k
พลิ้วไหว,phlíw-wǎy
พลิ้ว,phlíw
พลิกตัว,phlík-tua
พลิกแพลง,phlík-phlɛɛŋ
พลิกผัน,phlík-phǎn
พลิกล็อค,phlík-lɔ́k
พลิกลิ้น,phlík-lín
พลิกกลับ,phlík-klàp
พลิกคว่ำ,phlík-khwâm
พลิกฟื้น,phlík-fʉ́ʉn
พลิก,phlík
ผลีผลาม,phlǐi-phlǎam
พลีชีพ,phlii-chîip
ผลิดอกออกผล,phlì-dɔ̀ɔk-ɔ̀ɔk-phǒn
ผลิบาน,phlì-baan
เพลี่ยงพล้ำ,phlîaŋ-phlám
เพลี่ยง,phlîaŋ
เพลียใจ,phlia-cay
เพลี้ย,phlía
เพลีย,phlia
ผลิ,phlì
แผล็บๆ,phlɛ̀p-phlɛ̀p
แผล็บ,phlɛ̀p
แพละโลม,phlɛ́-loom
เผลอตัว,phlə̌ə-tua
เพลิดเพลิน,phlə̂ət-phləən
แพลทินัม,phlɛɛ-thí-nâm
เผลอสติ,phlěe-sa-tì
แผลริมอ่อน,phlɛ̌ɛ-rim-ɔ̀ɔn
แผลริมแข็ง,phlɛ̌ɛ-rim-khɛ̌ŋ
เผลอเรอ,phlə̌ə-rəə
แผลเรื้อรัง,phlɛ̌ɛ-rʉ́a-raŋ
เพล้โพล้,phlée-phoo
เผลอไผล,phlə̌ə-phlǎy
แผลเป็น,phlɛ̌ɛ-pen
เพลงยาว,phleeŋ-yaaw
เพลงไทยสากล,phleeŋ-thay-sǎa-kon
เพลงไทยเดิม,phleeŋ-thay-dəəm
เพลงสวด,phleeŋ-sùat
แผลงศร,phlɛ̌ɛŋ-sɔ̌ɔn
เพลงสากล,phleeŋ-sǎa-kon
เพลงร็อค,phleeŋ-rɔ́k
เพลงป๊อบ,phleeŋ-póp
เพลิงไหม้,phləəŋ-mây
เพลงลูกทุ่ง,phleeŋ-lûuk-thûŋ
เพลงกล่อมเด็ก,phleeŋ-klɔ̀m-dèk
เพลงคลาสสิค,phleeŋ-khláat-sìk
เพลิงกัลป์,phləəŋ-kan
เพลิงฟ้า,phləəŋ-fáa
เพลงชาวบ้าน,phleeŋ-chaaw-bâan
เพลงชาติ,phleeŋ-châat
เพลงแจ๊ส,phleeŋ-cɛ́ɛt
แผลงฤทธิ์,phlɛ̌ɛ-ŋa-rít
แผลง,phlɛ̌ɛŋ
แพลง,phlɛɛŋ
เพลิง,phləəŋ
เพลง,phleeŋ
เพลิน,phləən
แพลม,phlɛɛm
แพลเลเดียม,phlɛɛ-lee-dîam
แผลเก่า,phlɛ̌ɛ-kàw
แผลฉกรรจ์,phlɛ̌ɛ-cha-kan
แผลใจ,phlɛ̌ɛ-cay
เผลอใจ,phlə̌ə-cay
แผล,phlɛ̌ɛ
เผลอ,phlə̌ə
เผล่,phlèe
แผละ,phlɛ̀
เผละ,phlè
ไพล่หลัง,phlây-lǎŋ
ไพล่,phlây
ไพล,phlay
เพลาลง,phlaw-loŋ
เพลา,phlaw
พลัดตก,phlát-tòk
ผลัดเปลี่ยน,phlàt-plìan
พลัดพราก,phlát-phrâak
ผลัดแผ่นดิน,phlàt-phɛ̀ɛn-din
ผลัดผ้า,phlàt-phâa
ผลัดกัน,phlàt-kan
ผลัดใบ,phlàt-bay
ผลัด,phlàt
พลัด,phlát
พลับพลา,phláp-phlaa
พลับ,phláp
ผละออก,phlà-ɔ̀ɔk
ผละหนี,phlà-nǐi
พลั้งเผลอ,phláŋ-phlə̌ə
พลั้งพลาด,phláŋ-phlâat
พลั้งปาก,phláŋ-pàak
พลั่ง,phlâŋ
พลัน,phlan
ผลักไสไล่ส่ง,phlàk-sǎy-lây-sòŋ
ผลักไส,phlàk-sǎy
ผลักดัน,phlàk-dan
ผลัก,phlàk
พลาย,phlaay
พลาดท่า,phlâat-thâa
พลาสติก,phlâat-sa-tìk
พลาสมา,phláat-sa-maa
พลาดพลั้ง,phlâat-phláŋ
พลาดโอกาส,phlâat-oo-kàat
พลาดนัด,phlâat-nát
พลาด,phlâat
พลาง,phlaaŋ
ผลาญ,phlǎan
พล่าน,phlâan
พล่าม,phlâam
ผละ,phlà
พิโยกพิเกน,phí-yôok-phí-keen
พิโยค,phí-yôok
ผิวถนน,phǐw-tha-nǒn
ผิวสองสี,phǐw-sɔ̌ɔŋ-sǐi
ผิวๆ,phǐw-phǐw
ผิวเผิน,phǐw-phə̌ən
ผิวพรรณ,phǐw-phan
ผิวปาก,phǐw-pàak
ผิวนอก,phǐw-nɔ̂ɔk
ผิวหนังชั้นนอก,phǐw-nǎŋ-chán-nɔ̂ɔk
ผิวหนัง,phǐw-nǎŋ
ผิวหน้า,phǐw-nâa
ผิวคล้ำ,phǐw-khlám
ผิวขาว,phǐw-khǎaw
ผิวกาย,phǐw-kaay
ผิวดำ,phǐw-dam
ผิวจราจร,phǐw-ca-raa-cɔɔn
ผิว,phǐw
ผิดวินัย,phìt-wí-nay
ผิดหวัง,phìt-wǎŋ
ภิตติ,phít-tì
พิดทูล,phít-thuun
พิทยาธร,phít-tha-yaa-thɔɔn
พิทยาพล,phít-tha-yaa-phon
พิทยาลัย,phít-tha-yaa-lay
พิทยาคม,phít-tha-yaa-khom
พิทยาคาร,phít-tha-yaa-khaan
ผิดธรรมดา,phìt-tham-ma-daa
ผิดธรรมชาติ,phìt-tham-ma-châat
ผิดทาง,phìt-thaaŋ
ผิดตา,phìt-taa
พิษสุราเรื้อรัง,phít-sù-raa-rʉ́a-raŋ
พิษสุนัขบ้า,phít-sù-nák-bâa
ผิดส่วน,phìt-sùan
พิษสง,phít-sǒŋ
ผิดศีลธรรม,phìt-sǐin-la-tham
พิศวาส,phít-sa-wâat
พิษฐาน,phít-sa-thǎan
ผิดสัญญา,phìt-sǎn-yaa
พิษณุโลก,phít-sa-nú-lôok
ผิดสำแดง,phìt-sǎm-dɛɛŋ
พิศดู,phít-sa-duu
พิสดาร,phít-sa-daan
พิศดาร,phít-sa-daan
ผิดรูปผิดร่าง,phìt-rûup-phìt-râaŋ
ผิดรูป,phìt-rûup
พิษร้าย,phít-ráay
ผิดปรกติ,phìt-pròk-ka-tì
ผิดประเวณี,phìt-prà-wee-nii
ผิดปกติ,phìt-pòk-ka-tì
ผิดแปลก,phìt-plɛ̀ɛk
ผิดพวกผิดพ้อง,phìt-phûak-phìt-phɔ́ɔŋ
ผิดพลาด,phìt-phlâat
ผิดแผกแตกต่าง,phìt-phɛ̀ɛk-tɛ̀ɛk-tàaŋ
ผิดแผก,phìt-phɛ̀ɛk
พิษภัย,phít-phay
พิษงู,phít-ŋuu
ผิดนัด,phìt-nát
ผิดลักษณะ,phìt-lák-sà-nà
ผิดกฎหมาย,phìt-kòt-mǎay
ผิดคำสัตย์,phìt-kham-sàt
ผิดคำพูด,phìt-kham-phûut
ผิดกติกา,phìt-ka-tì-kaa
พิทูร,phí-thuun
พิฑูรย์,phí-thuun
ผิดหู,phìt-hǔu
พิธีทางศาสนา,phí-thii-thaaŋ-sàat-sa-nǎa
พิธีแต่งงาน,phí-thii-tɛ̀ŋ-ŋaan
พิธีสู่ขวัญ,phí-thii-sùu-khwǎn
พิธีศพ,phí-thii-sòp
พิธีสมรส,phí-thii-sǒm-rót
พิธีสาร,phí-thii-sǎan
พิธีรีตอง,phí-thii-rii-tɔɔŋ
พิถีพิถัน,phí-thǐi-phí-thǎn
พิธีมณฑล,phí-thii-mon-thon
พิธีกร,phí-thii-kɔɔn
พิธีกรรม,phí-thii-kam
พิธีการ,phí-thii-kaan
พิถี,phí-thǐi
พิธี,phí-thii
พิเทศ,phí-thêet
พิทักษ์,phí-thák
พิธาน,phí-thaan
ผิดใจกัน,phìt-cay-kan
ผิดใจ,phìt-cay
ผิดจังหวะ,phìt-caŋ-wà
ผิดจารีตประเพณี,phìt-caa-rîit-prà-phee-nii
พิษ,phít
พิศ,phít
พิตร,phít
พิชญ์,phít
พิสูจน์เลือด,phí-sùut-lʉ̂at
พิสูจน์ฝีมือ,phí-sùut-fǐi-mʉʉ
พิสูจน์อักษร,phí-sùut-àk-sɔ̌ɔn
พิสูจน์,phí-sùut
พิสุทธิ์,phí-sùt
พิศุทธิ์,phí-sùt
พิศวงงงงวย,phí-sǔaŋ-ŋoŋ-ŋuay
พิสิฐ,phí-sìt
พิเศษ,phí-sèet
พิสัย,phí-sǎy
พิศวง,phí-sa-wǒŋ
พิสัช,phí-sàt
พิสัญญี,phí-sǎn-yii
พิสมร,phí-sa-mɔ̌ɔn
พิสมัย,phí-sa-mǎy
พิศาล,phí-sǎan
พิรุธ,phí-rút
พิรุณ,phí-run
พิริยโยธา,phí-rí-ya-yoo-thaa
พิริยะ,phí-rí-yá
พิรี้พิไร,phí-ríi-phí-ray
พิเรน,phí-reen
พิไร,phí-ray
พิราบ,phí-râap
พิราม,phí-raam
พิราลัย,phí-raa-lay
พิรากล,phí-raa-kon
พิภูษณะ,phí-phuu-sà-nà
พิภพ,phí-phóp
พิพิธภัณฑสถานแห่งชาติ,phí-phít-tha-phan-tha-sa-thǎan-hɛ̀ŋ-châat
พิพิธภัณฑสถาน,phí-phít-tha-phan-tha-sa-thǎan
พิพิธภัณฑ์สัตว์น้ำ,phí-phít-tha-phan-sàt-nám
พิพิธภัณฑ์,phí-phít-tha-phan
พิภัช,phí-phát
พิพัฒน์,phí-phát
พิพรรธน์,phí-phát
พิพักพิพ่วน,phí-phák-phí-phûan
พิพาท,phí-phâat
พิพากษา,phí-phâak-sǎa
พิภาค,phí-phâak
พิพากษ์,phí-phâak
ภิญโญภาพ,phin-yoo-phâap
ภิญโญ,phin-yoo
พินทุสร,phin-thú-sɔ̌ɔn
พินทุ,phin-thú
ภินทนาการ,phín-tha-naa-kaan
พิณพาทย์,phin-phâat
พินอบพิเทา,phí-nɔ̂ɔp-phí-thaw
พินิศจัย,phí-nít-sa-cay
พินิจพิเคราะห์,phí-nít-cà-phí-khrɔ́
พินิศ,phí-nít
พินิต,phí-nít
พินิจ,phí-nít
พิง,phiŋ
พินัยกรรม,phí-nay-kam
พินาศ,phí-nâat
ผิน,phǐn
พิณ,phin
ภินท์,phin
พิมุข,phí-múk
พิมพ์ทอง,phim-thɔɔŋ
พิมเสน,phim-sěen
พิมพ์สัมผัส,phim-sǎm-phàt
